Unit,Group,SampleID,Easting,Northing,EC,EC_units,pH,NH4-N,PO4-P,ICP_ID,Group,Name,Al,As,B,Ba,Ca,Co,Cr,Cu,Fe,K,Li,Mg,Mn,Na,Ni,P,Rb,S,Si,Sr,Zn
ENVT3361,1,2025-W01,400514,6468318,718,µS/cm,7.5,0.184,0.627,AF25_01,1,W1,0.056,NA,NA,0.033,38,NA,NA,NA,1.127,6.48,NA,11.2,0.1187,200.69,NA,0.396,0.016,21.79,6.53,0.221,0.0057
ENVT3361,1,2025-W02,400514,6468314,,NA,,0.085,0.672,AF25_02,1,W2,0.032,NA,NA,0.032,42,NA,NA,NA,0.798,7.18,NA,11.3,0.0983,179.79,NA,0.499,0.019,21.04,6.42,0.218,0.0217
ENVT3361,1,2025-W03,400513,6468314,736,µS/cm,7.52,0.048,0.554,AF25_03,1,W3,0.029,NA,NA,0.036,41,NA,NA,NA,0.471,6.94,NA,10.5,0.0789,163.38,NA,0.404,0.017,17.1,6.51,0.223,0.0069
ENVT3361,1,2025-W04,400512,6468313,,,,0.119,0.539,AF25_04,1,W4,0.04,NA,NA,0.029,41,NA,NA,NA,0.542,6.96,NA,10.5,0.0801,157.25,NA,0.394,0.018,16.89,6.48,0.204,0.0059
ENVT3361,1,2025-W05,400512,6468310,,,,0.057,0.691,AF25_05,1,W5,0.015,NA,NA,0.031,41,NA,NA,NA,0.458,6.72,NA,10.6,0.0706,150.43,NA,0.523,0.018,15.16,6.39,0.215,0.0317
ENVT3361,1,2025-W06,400511,6468310,,,,0.187,0.597,AF25_06,1,W6,0.106,NA,NA,0.029,42,NA,NA,NA,0.626,6.75,NA,10.7,0.0844,148.59,NA,0.447,0.017,15.92,6.48,0.207,0.0377
ENVT3361,1,2025-W07,400508,6468309,723,µS/cm,7.25,0.076,0.638,AF25_07,1,W7,0.041,NA,NA,0.033,41,NA,NA,NA,0.835,6.93,NA,10.7,0.0958,143.21,NA,0.476,0.017,17.44,6.63,0.205,0.0159
ENVT3361,1,2025-W08,,,,µS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENVT3361,2,2025-W09,400455,6468337,1020,µS/cm,7.24,0.141,0.543,AF25_65,2,1,0.025,NA,0.086,0.037,42,NA,NA,NA,0.498,8.48,NA,23.1,0.1169,222.1,NA,0.888,0.018,15.26,7.30,0.211,NA
ENVT3361,2,2025-W10,400456,6468335,996.1,µS/cm,,0.140,0.342,AF25_66,2,2,0.025,NA,0.06,0.031,41,NA,NA,NA,0.421,7.63,NA,13.3,0.0779,142.22,NA,0.580,0.017,11.57,6.64,0.194,NA
